Close Price,High Price,Low Price,Open Price,Date
495.82,498.3,495.1,495.1,2014-01-31
505.79,507.55,502.43,502.74,2014-02-03
506.69,507.65,499.37,505.85,2014-02-04
511.57,511.63,506.37,506.875,2014-02-05
509.11,512.35,507.83,510.33,2014-02-06
520.72,522.02,519.53,521.1,2014-02-07
527.33,528.24,518.48,518.48,2014-02-10
531.98,533.02,529.5,530.53,2014-02-11
535.55,539.44,534.85,536.95,2014-02-12
538.25,539.1,534.55,534.6,2014-02-13
543.35,545.85,534.55,542.96,2014-02-14
547.38,548.44,541.29,545.82,2014-02-18
543.97,546.85,542.22,544.6,2014-02-19
532.48,546.85,529.46,532.61,2014-02-20
532.12,536.99,529,532.68,2014-02-21
528.6,528.82,522.53,523.52,2014-02-24
524.73,529.43,524.41,529.33,2014-02-25
519.1,524.99,517.5,524.1,2014-02-26
521.71,522.14,516.08,517.34,2014-02-27
532.575,532.66,527.81,528.95,2014-02-28
529.27,530.56,523.06,523.42,2014-03-03
531.25,532.51,529.31,531.08,2014-03-04
530.4,533.11,529.19,530.87,2014-03-05
531.9,534.43,530.84,533.335,2014-03-06
528.55,531.87,526.74,531.475,2014-03-07
530.86,532.78,528.54,529.02,2014-03-10
537.06,537.79,535.11,535.45,2014-03-11
533.21,535.88,532.02,534.59,2014-03-12
539.6,539.64,535.3,537.4,2014-03-13
527.16,530.23,526.26,528.72,2014-03-14
528.87,529.95,526.78,527.33,2014-03-17
528.06,529.38,525.24,525.72,2014-03-18
535.47,535.81,531.31,532.4,2014-03-19
529.09,532.6,527.75,529.7,2014-03-20
529.37,532.78,529.12,531.77,2014-03-21
539.49,540.39,537.16,538.38,2014-03-24
543.5,543.5,540.32,541.36,2014-03-25
548.38,549,546.55,546.92,2014-03-26
539.18,540.88,536.54,539.67,2014-03-27
537.47,538.92,536.13,538.11,2014-03-28
538.81,540.75,537.67,538.89,2014-03-31
537.31,539.24,536.9,537.76,2014-04-01
541.48,543.05,540.39,542.33,2014-04-02
541.05,542.5,540.82,541.39,2014-04-03
537.31,539.81,536.26,539.715,2014-04-04
529.21,530.83,526.72,528.17,2014-04-07
522.01,526.09,518.8,525,2014-04-08
524.33,526.71,522.16,522.67,2014-04-09
528.17,530.91,527.42,530.68,2014-04-10
519.17,522.38,519.08,519.16,2014-04-11
518.88,521.92,517.59,521.7,2014-04-14
520.77,521.63,518.7,520.24,2014-04-15
515.25,519.03,514.95,518.47,2014-04-16
521.13,521.52,519.32,520.2,2014-04-17
529.22,529.22,523.96,525.29,2014-04-21
528.67,529.21,526.57,528.51,2014-04-22
528.19,531.11,527.85,529.06,2014-04-23
562.18,568.53,560.75,568.44,2014-04-24
564.85,567.86,563.98,564.3,2014-04-25
583.07,584.15,572.64,572.8,2014-04-28
590.845,595.98,589.64,593.96,2014-04-29
592.83,595,591.3,592.6,2014-04-30
593.53,594.34,590.32,592.02,2014-05-01
592.77,594.19,590.66,592.6,2014-05-02
595.65,595.96,590.15,590.15,2014-05-05
603.31,604.38,599.75,601.61,2014-05-06
593.98,597.25,591.3,595.24,2014-05-07
592.09,592.15,588.27,588.27,2014-05-08
